Dated: 18 Feb, 2020
Author: Satish Patel
1124,Longest Well-Performing Interval
884,Uncommon Words from Two Sentences
491,Increasing Subsequences
779,K-th Symbol in Grammar
377,Combination Sum IV
190,Reverse Bits
1036,Escape a Large Maze
676,Implement Magic Dictionary
1247,Minimum Swaps to Make Strings Equal
993,Cousins in Binary Tree
1296,Divide Array in Sets of K Consecutive Numbers
357,Count Numbers with Unique Digits
918,Maximum Sum Circular Subarray
191,Number of 1 Bits
1214,Two Sum BSTs
790,Domino and Tromino Tiling
873,Length of Longest Fibonacci Subsequence
1025,Divisor Game
1081,Smallest Subsequence of Distinct Characters
1278,Palindrome Partitioning III
1135,Connecting Cities With Minimum Cost
983,Minimum Cost For Tickets
975,Odd Even Jump
867,Transpose Matrix
455,Assign Cookies
58,Length of Last Word
640,Solve the Equation
592,Fraction Addition and Subtraction
942,DI String Match
1104,Path In Zigzag Labelled Binary Tree
984,String Without AAA or BBB
765,Couples Holding Hands
1200,Minimum Absolute Difference
587,Erect the Fence
712,Minimum ASCII Delete Sum for Two Strings
963,Minimum Area Rectangle II
1326,Minimum Number of Taps to Open to Water a Garden
1212,Team Scores in Football Tournament
870,Advantage Shuffle
702,Search in a Sorted Array of Unknown Size
335,Self Crossing
343,Integer Break
1252,Cells with Odd Values in a Matrix
1128,Number of Equivalent Domino Pairs
917,Reverse Only Letters
313,Super Ugly Number
562,Longest Line of Consecutive One in Matrix
1156,Swap For Longest Repeated Character Substring
1228,Missing Number In Arithmetic Progression
841,Keys and Rooms
1100,Find K-Length Substrings With No Repeated Characters
719,Find K-th Smallest Pair Distance
878,Nth Magical Number
522,Longest Uncommon Subsequence II
915,Partition Array into Disjoint Intervals
897,Increasing Order Search Tree
1184,Distance Between Bus Stops
608,Tree Node
848,Shifting Letters
292,Nim Game
431,Encode N-ary Tree to Binary Tree
896,Monotonic Array
308,Range Sum Query 2D - Mutable
1190,Reverse Substrings Between Each Pair of Parentheses
281,Zigzag Iterator
626,Exchange Seats
333,Largest BST Subtree
911,Online Election
530,Minimum Absolute Difference in BST
904,Fruit Into Baskets
1111,Maximum Nesting Depth of Two Valid Parentheses Strings
1320,Minimum Distance to Type a Word Using Two Fingers
147,Insertion Sort List
932,Beautiful Array
949,Largest Time for Given Digits
885,Spiral Matrix III
590,N-ary Tree Postorder Traversal
507,Perfect Number
551,Student Attendance Record I
389,Find the Difference
890,Find and Replace Pattern
786,K-th Smallest Prime Fraction
802,Find Eventual Safe States
382,Linked List Random Node
404,Sum of Left Leaves
1137,N-th Tribonacci Number
634,Find the Derangement of An Array
696,Count Binary Substrings
700,Search in a Binary Search Tree
447,Number of Boomerangs
216,Combination Sum III
914,X of a Kind in a Deck of Cards
745,Prefix and Suffix Search
1053,Previous Permutation With One Swap
408,Valid Word Abbreviation
827,Making A Large Island
602,Friend Requests II: Who Has the Most Friends
925,Long Pressed Name
1140,Stone Game II
788,Rotated Digits
1275,Find Winner on a Tic Tac Toe Game
1258,Synonymous Sentences
961,N-Repeated Element in Size 2N Array
923,3Sum With Multiplicity
376,Wiggle Subsequence
924,Minimize Malware Spread
1282,Group the People Given the Group Size They Belong To
931,Minimum Falling Path Sum
183,Customers Who Never Order
1241,Number of Comments per Post
946,Validate Stack Sequences
129,Sum Root to Leaf Numbers
481,Magical String
1136,Parallel Courses
849,Maximize Distance to Closest Person
1061,Lexicographically Smallest Equivalent String
303,Range Sum Query - Immutable
704,Binary Search
1180,Count Substrings with Only One Distinct Letter
527,Word Abbreviation
474,Ones and Zeroes
859,Buddy Strings
263,Ugly Number
685,Redundant Connection II
575,Distribute Candies
1290,Convert Binary Number in a Linked List to Integer
397,Integer Replacement
1109,Corporate Flight Bookings
822,Card Flipping Game
1304,Find N Unique Integers Sum up to Zero
1217,Play with Chips
326,Power of Three
891,Sum of Subsequence Widths
999,Available Captures for Rook
422,Valid Word Square
728,Self Dividing Numbers
654,Maximum Binary Tree
1204,Last Person to Fit in the Elevator
783,Minimum Distance Between BST Nodes
1020,Number of Enclaves
1313,Decompress Run-Length Encoded List
1297,Maximum Number of Occurrences of a Substring
1103,Distribute Candies to People
926,Flip String to Monotone Increasing
998,Maximum Binary Tree II
565,Array Nesting
1165,Single-Row Keyboard
457,Circular Array Loop
614,Second Degree Follower
610,Triangle Judgement
650,2 Keys Keyboard
444,Sequence Reconstruction
899,Orderly Queue
